product_name,author,price,other_conditions,url,page
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود,Nashwan Store,"31,720",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-%D8%AC%D8%AF%D9%8A%D8%AF-vn016398,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أبيض,Nashwan Store,"31,900",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%A8%D9%8A%D8%B6-%D8%AC%D8%AF%D9%8A%D8%AF-vn016397,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت أخضر (Alpine ...,Goda phone,"39,950",79%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%AE%D8%B6%D8%B1-(alpine-green)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016385,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود (Midnight),Orange Mobile,"25,970",89%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-(midnight)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016329,1
ايفون 13 رامات 4 جيجابايت 256 جيجابايت أزرق,Harmony+,"25,500",76%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016266,1
ايفون 13 Pro Max رامات 6 جيجابايت 128 جيجابايت تركواز (Cyan ...,محمود زعير,"31,500",82%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D8%B1%D9%83%D9%88%D8%A7%D8%B2-(cyan-lake)-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-su000575,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت اسود فانتوم,Mohammed Muhammad,"39,900",83%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A7%D8%B3%D9%88%D8%AF-%D9%81%D8%A7%D9%86%D8%AA%D9%88%D9%85-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-su000570,1
ايفون 13 Pro رامات 6 جيجابايت 128 جيجابايت أزرق,Elrhman Khalid,"31,500",76%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-su000569,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود (Midnight),Goda phone,"31,650",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-(midnight)-%D8%AC%D8%AF%D9%8A%D8%AF-vn016174,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أبيض,FM store,"31,780",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%A8%D9%8A%D8%B6-%D8%AC%D8%AF%D9%8A%D8%AF-vn015956,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت وردى,FM store,"25,200",78%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D9%88%D8%B1%D8%AF%D9%89-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu015435,1
ايفون 13 رامات 4 جيجابايت 256 جيجابايت وردى,Goda phone,"26,850",69%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D9%88%D8%B1%D8%AF%D9%89-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu013785,1
