name,description,price,location,url,page
iphone 13,iphone 13 pro max in perfect condition 256 gb,"EGP 39,500","Abasiya, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-in-perfect-condition-256-gb-ID206215443.html,1
iphone 13,iPhone 13 pro,"EGP 36,000","Darb al-Ahmar, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206214983.html,1
iphone 13,iPhone 13 Pro Max,"EGP 27,000","Haram, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206214912.html,1
iphone 13,iphone13promax,"EGP 33,000","Smoha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone13promax-ID206214860.html,1
iphone 13,iPhone 13 Pro,"EGP 27,000","Shorouk City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206214746.html,1
iphone 13,iphone 13 256 giga,"EGP 25,000","Miami, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-256-giga-ID206214730.html,1
iphone 13,iphone 13 128gb for sale,"EGP 20,000","Palm hub, Shorouk City•",https://www.dubizzle.com.eg/en/ad/iphone-13-128gb-for-sale-ID206214297.html,1
iphone 13,iPhone 13 used for sell,"EGP 21,000
Negotiable","Mandara, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-used-for-sell-ID206214231.html,1
iphone 13,Iphone 13 pro max,"EGP 38,500","Stoda Residence, Sheraton•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206214213.html,1
iphone 13,iphone 13 for sale with good condition with box,"EGP 22,500
Negotiable","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-for-sale-with-good-condition-with-box-ID206195854.html,1
iphone 13,iphon 13,"EGP 29,000
Negotiable","5th Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphon-13-ID206213975.html,1
iphone 13,iPhone 13 Pro Max USA Unlocked Egypt,"EGP 35,000","6th of October, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-usa-unlocked-egypt-ID206101900.html,1
iphone 13,iPhone 13 Pro 256GB.,"EGP 35,000
Negotiable","5th Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-256gb-ID206213775.html,1
iphone 13,iphone 13 pro,"EGP 33,500","Moharam Bik, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206213768.html,1
iphone 13,Iphone 13Pro,"EGP 35,000
Negotiable","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13pro-ID206213453.html,1
iphone 13,iphone 13 pro max 128 GB,"EGP 39,000","Seyouf, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-128-gb-ID206213330.html,1
iphone 13,IPHONE 13,"EGP 27,000
Negotiable","Agami, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206213166.html,1
iphone 13,iPhone 13 - 256G -Black حالة ممتازة,"EGP 25,000","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-256g-black-%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID206212927.html,1
iphone 13,iPhone 13 Pro Max,"EGP 35,000","10th of Ramadan, Sharqia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206212718.html,1
iphone 13,iphone 13 128 without case,"EGP 16,000","Maadi, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128-without-case-ID206212589.html,1
iphone 13,iphone 13 /128,"EGP 26,500","New Cairo, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128-ID201217386.html,1
iphone 13,iphone 13 pink new 128G,"EGP 21,000","Rehab City Compound, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pink-new-128g-ID206146206.html,1
iphone 13,iphone 13 128G WithBox,"EGP 18,850","Miami, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-withbox-ID206212019.html,1
iphone 13,IPhone 13,"EGP 21,500","Hadayek Helwan, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206211823.html,1
iphone 13,iPhone 13,"EGP 19,500","Mohandessin, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206211819.html,2
iphone 13,iPhone 13,"EGP 30,500","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID205498246.html,2
iphone 13,iphone 13 pro max بحالة ممتازة,"EGP 35,000
Negotiable","New Cairo, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-%D8%A8%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID206211301.html,2
iphone 13,iPhone 13,"EGP 25,000","Seyouf, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206211130.html,2
iphone 13,iPhone 13,"EGP 16,500","Gesr Al Suez, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206210602.html,2
iphone 13,iPhone 13 Pro max 256 86% معفي والسعر نهائي,"EGP 28,000","Warraq, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-256-86-%D9%85%D8%B9%D9%81%D9%8A-%D9%88%D8%A7%D9%84%D8%B3%D8%B9%D8%B1-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-ID206210379.html,2
iphone 13,iPhone 13 Pro Max 256 معفي,"EGP 28,000","Warraq, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-256-%D9%85%D8%B9%D9%81%D9%8A-ID206177371.html,2
iphone 13,iPhone 13,"EGP 19,000","Damietta City, Damietta•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206210361.html,2
iphone 13,iPhone 13 pro,"EGP 29,000","Ismailia City, Ismailia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID205533005.html,2
iphone 13,iphone 13promax,"EGP 36,500","Bagour, Monufia•",https://www.dubizzle.com.eg/en/ad/iphone-13promax-ID206210292.html,2
iphone 13,iphone 13 pro max,"EGP 37,000","10th of Ramadan, Sharqia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206210206.html,2
iphone 13,iphone 13 128,"EGP 28,000","Obour City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128-ID206173080.html,2
iphone 13,iPhone 13 Pro Mx 256,"EGP 37,000","Shubra al-Khaimah, Qalyubia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-mx-256-ID206210007.html,2
iphone 13,iPhone 13,"EGP 23,000","Al Bitash, Agami•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206209961.html,2
iphone 13,Iphone 13 متبرشم,"EGP 31,000
Negotiable","Dawahy District, Port Said•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-ID206209926.html,2
iphone 13,iPhone 13 Pro for sell,"EGP 27,000","Downtown Cairo, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-for-sell-ID206209878.html,2
iphone 13,iPhone 13 128,"EGP 21,000","Al Bitash, Agami•",https://www.dubizzle.com.eg/en/ad/iphone-13-128-ID206209845.html,2
iphone 13,iPhone 13pro,"EGP 25,000","Basateen, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13pro-ID206209749.html,2
iphone 13,iphone 13 pro,"EGP 30,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206209734.html,2
iphone 13,Iphone13 pro max,"EGP 39,000","Quesna, Monufia•",https://www.dubizzle.com.eg/en/ad/iphone13-pro-max-ID205033848.html,2
iphone 13,iphone 13 pro max,"EGP 36,500
Negotiable","5th District, Sheikh Zayed•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206209656.html,2
iphone 13,iPhone 13 Pro,"EGP 20,000","Ismailia City, Ismailia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206209639.html,2
iphone 13,iPhone 13 95%,"EGP 27,000","Nag Hammadi, Qena•",https://www.dubizzle.com.eg/en/ad/iphone-13-95-ID206209637.html,2
iphone 13,iphone 13pro max,"EGP 35,000","Shubra al-Khaimah, Qalyubia•",https://www.dubizzle.com.eg/en/ad/iphone-13pro-max-ID206209433.html,2
iphone 13,iPhone 13,"EGP 28,000
Negotiable","Madinaty, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206209310.html,2
iphone 13,iPhone 13 Pro Max,"EGP 39,000
Negotiable","Madinaty, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206209168.html,2
iphone 13,IPHONE 13 Pro,"EGP 22,000
Negotiable","Helwan, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206186933.html,2
iphone 13,iPhone 13 Pro dual sim,"EGP 30,000
Negotiable","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-dual-sim-ID206208538.html,2
iphone 13,iPhone 13,"EGP 21,500","New Cairo, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206208487.html,2
iphone 13,iPhone 13 Pro Max like new,"EGP 15,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-like-new-ID206208008.html,2
iphone 13,حالة نضيفة جدا iphone 13 pro max 256g,"EGP 37,000","Downtown Cairo, Cairo•",https://www.dubizzle.com.eg/en/ad/%D8%AD%D8%A7%D9%84%D8%A9-%D9%86%D8%B6%D9%8A%D9%81%D8%A9-%D8%AC%D8%AF%D8%A7-iphone-13-pro-max-256g-ID206154965.html,2
iphone 13,iPhone 13 Sierra Blue,"EGP 24,000
Negotiable","Shubra al-Khaimah, Qalyubia•",https://www.dubizzle.com.eg/en/ad/iphone-13-sierra-blue-ID205535326.html,2
iphone 13,iphone 13 pro max 256G,"EGP 35,000","Moneeb, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-256g-ID206207801.html,2
iphone 13,IPHONE 13 128G جديد متبرشم,"EGP 22,500
Negotiable","6th District, 6th of October•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-ID206207736.html,2
iphone 13,Iphone 13 pro 256Gb,"EGP 30,500
Negotiable","Shebin al-Koum, Monufia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-256gb-ID206207439.html,2
iphone 13,iphone 13 pro,"EGP 35,000","Maadi, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID204283231.html,2
iphone 13,iphone 13,"EGP 22,500","Helwan, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206207253.html,2
iphone 13,IPhone 13 برو ماكس,"EGP 36,000","Miami, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%A8%D8%B1%D9%88-%D9%85%D8%A7%D9%83%D8%B3-ID206206733.html,2
iphone 13,iphone 13 pro max,"EGP 32,000","Uptown Cairo, Mokattam•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206206688.html,2
iphone 13,Iphone13ايفون 13 خالص ضريبه,"EGP 21,000
Negotiable","Sadat, Monufia•",https://www.dubizzle.com.eg/en/ad/iphone13%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%AE%D8%A7%D9%84%D8%B5-%D8%B6%D8%B1%D9%8A%D8%A8%D9%87-ID206206363.html,2
iphone 13,iphone 13,"EGP 25,500","5th Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206206135.html,2
iphone 13,iPhone 13 PRO MAX 256 gb زيرو ضريبه 86 بطاريه,"EGP 40,000","5th Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-256-gb-%D8%B2%D9%8A%D8%B1%D9%88-%D8%B6%D8%B1%D9%8A%D8%A8%D9%87-86-%D8%A8%D8%B7%D8%A7%D8%B1%D9%8A%D9%87-ID206205891.html,2
iphone 13,iPhone 13 Pro Max,"EGP 38,500","Zagazig, Sharqia•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206205680.html,2
iphone 13,New iPhone 13 (128 gb) Sealed,"EGP 24,000
Negotiable","Maadi, Cairo•",https://www.dubizzle.com.eg/en/ad/new-iphone-13-128-gb-sealed-ID206205528.html,2
iphone 13,iPhone 13,"EGP 26,000","Mahalla al-Kobra, Gharbia•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206205478.html,2
iphone 13,iPhone 13 – 128GB – أزرق – حاله ممتازه,"EGP 26,000","Smoha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-128gb-%D8%A3%D8%B2%D8%B1%D9%82-%D8%AD%D8%A7%D9%84%D9%87-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D9%87-ID206205457.html,3
iphone 13,IPhone 13 Pro,"EGP 27,000","Sharabeya, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID205933416.html,3
iphone 13,iPhone 13 خالص ضريبة جديد,"EGP 28,500","Samalut, Minya•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%AE%D8%A7%D9%84%D8%B5-%D8%B6%D8%B1%D9%8A%D8%A8%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF-ID206204939.html,3
